company,heading,position,image,employees,link,website,social_links,location,company_size,total_raised,skills,founders,founder_links,funding,culture
Peloton Interactive                ,"Better ourselves, inspire each other, and unite the world through fitness                           ","Senior Engineer, Data Platform                             ",https://photos.angel.co/startups/i/543156-4a8ba229962e3363aacf67aff5d47e9d-medium_jpg.jpg ,1001-5000 employees,https://angel.co/company/peloton                  ,http://www.onepeloton.com                                                ,"['https://blog.onepeloton.com/', 'https://twitter.com/onepeloton', 'https://www.facebook.com/onepeloton/', 'https://www.linkedin.com/company/peloton-interactive-/']                                                                                                                         ",['New York City']                                    ,1001-5000 people,$1B                                                                             ,"['Fitness', 'Hardware', 'Retail', 'Fitness', 'Video Streaming', 'Android', 'Customer Service', 'Software', 'Content', 'Technology', 'Tech Field Support']                                                                                                                                          ",                                                ,                                                                                       ,                                                ,
Truepic                            ,Dedicated to restoring trust in every pixel of consequence                                            ,Senior Full Stack Engineer                                   ,https://photos.angel.co/startups/i/1714965-68d89d7c34672868ff6e2fe95d2317ac-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/truepic                  ,https://truepic.com/                                                     ,"['http://twitter.com/truepicinc', 'https://linkedin.com/company/truepic-inc', 'https://www.producthunt.com/posts/truepic']                                                                                                                                                                   ",['United States']                                    ,51-200 people   ,$35.8M                                                                          ,"['Security', 'Photography', 'Image Recognition', 'Computer Vision']                                                                                                                                                                                                                                ",                                                ,                                                                                       ,                                                ,
DiligenceVault                     ,Digitizing the Fund Diligence Process                                                                 ,Backend Engineer - Python+Elastic Search                     ,https://photos.angel.co/startups/i/437771-af88d89c1abd30be1adc36d1cc2b3344-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/diligencevault           ,https://www.diligencevault.com/                                          ,"['http://blog.diligencevault.com', 'https://www.linkedin.com/company/diligencevault']                                                                                                                                                                                                        ","['India', 'New York City', 'Singapore']            ",11-50 people    ,StartupTechnology ProviderB2 BArtificial IntelligenceEnterprise Software Company,"['Startup', 'Technology Provider', 'B2 B', 'Artificial Intelligence', 'Enterprise Software Company', 'Sales and Marketing', 'Investment Management', 'Finance Technology', 'Fin Tech']                                                                                                             ",['Monel Amin']                                  ,['https://angel.co/u/monel-amin']                                                      ,"['1 round', 'Series A (Oct 2019)']            ",[]
CloudTrucks                        ,The virtual trucking carrier                                                                          ,Senior Software Engineer - Platform and Infrastructure       ,https://photos.angel.co/startups/i/7450811-0f9f838b47a4b565d108cea285de070a-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/cloudtrucks              ,https://www.cloudtrucks.com                                              ,"['https://www.cloudtrucks.com/stories', 'https://www.linkedin.com/company/cloudtrucks/']                                                                                                                                                                                                     ",['San Francisco']                                    ,51-200 people   ,$141.6M                                                                         ,"['SaaS', 'Machine Learning', 'Artificial Intelligence', 'Industrial Automation', 'Transportation', 'Logistics', 'Logistics Software', 'Logistics / Transportation / Shipping']                                                                                                                     ",                                                ,                                                                                       ,                                                ,
Smartcar                           ,The car API for developers                                                                            ,Senior Software Engineer - Back-End for the Platform Team    ,https://photos.angel.co/startups/i/96140-ef1912b658ea66d6e364f9a79e8a38d9-medium_jpg.jpg  ,11-50 employees    ,https://angel.co/company/smartcar                 ,https://smartcar.com                                                     ,"['https://smartcar.com/blog/', 'https://www.twitter.com/mysmartcar', 'https://www.facebook.com/smartcar', 'https://www.linkedin.com/company/smartcar']                                                                                                                                       ","['California', 'Texas', 'New York']                ",11-50 people    ,$36M                                                                            ,"['Startup', 'Software', 'Automotive', 'Developer APIs', 'Apps', 'Software', 'Mobility']                                                                                                                                                                                                            ","['Sanketh Katta', 'Sahas Katta']              ","['https://angel.co/p/sankethkatta', 'https://angel.co/p/sahaskatta']                 ","['$36M', '3 rounds', 'Series B (Jan 2022)']   ","['Health, dental and vision', 'Equity', 'Flexible pto', 'Offsites', '401k']"
Peloton Interactive                ,"Better ourselves, inspire each other, and unite the world through fitness                           ","Senior Engineer, Data Platform                             ",https://photos.angel.co/startups/i/543156-4a8ba229962e3363aacf67aff5d47e9d-medium_jpg.jpg ,1001-5000 employees,https://angel.co/company/peloton                  ,http://www.onepeloton.com                                                ,"['https://blog.onepeloton.com/', 'https://twitter.com/onepeloton', 'https://www.facebook.com/onepeloton/', 'https://www.linkedin.com/company/peloton-interactive-/']                                                                                                                         ",['New York City']                                    ,1001-5000 people,$1B                                                                             ,"['Fitness', 'Hardware', 'Retail', 'Fitness', 'Video Streaming', 'Android', 'Customer Service', 'Software', 'Content', 'Technology', 'Tech Field Support']                                                                                                                                          ",                                                ,                                                                                       ,                                                ,
Weights & Biases                   ,Developer Tools for Machine Learning                                                                  ,Machine Learning Engineer - Customer Success (Remote)        ,https://photos.angel.co/startups/i/4692943-d8d3d52f3dc5fd68bd1c21fd7d18d046-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/wandb                    ,https://www.wandb.ai                                                     ,"['https://wandb.ai/fully-connected', 'https://twitter.com/weights_biases', 'https://www.facebook.com/weightsandbiases/', 'https://www.linkedin.com/company/weights-biases/', 'https://www.producthunt.com/posts/weights-biases']                                                             ","['San Francisco', 'Remote']                        ",51-200 people   ,$220M                                                                           ,"['SaaS', 'Information Technology', 'Information Services', 'Machine Learning', 'Artificial Intelligence', 'Software', 'Artificial Intelligence / Machine Learning', 'B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning']                                                            ",                                                ,                                                                                       ,                                                ,
thirdweb                           ,we make it easy to build web3 apps                                                                    ,"Software Engineer, SDK Platform                            ",https://photos.angel.co/startups/i/8582367-4b6588765b8f2c82b3a0b69f0c2e9d05-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/thirdweb-1               ,https://thirdweb.com/                                                    ,"['https://blog.thirdweb.com/', 'https://twitter.com/thirdweb_', 'https://www.linkedin.com/company/third-web/', 'https://www.producthunt.com/products/thirdweb']                                                                                                                              ","['New York City', 'San Francisco']                 ",11-50 people    ,$29M                                                                            ,"['Developer Tools', 'Blockchain / Cryptocurrency', 'Web3', 'NFT']                                                                                                                                                                                                                                  ","['Jake Loo', 'Cathal Berragan']               ","['https://angel.co/u/jakeloo', 'https://angel.co/u/cathal-berragan']                 ","['$160M', '2 rounds', 'Series A (Aug 2022)']  ",[]
Small Door Veterinary              ,Veterinary care reimagined                                                                            ,Full Stack Software Engineer                                 ,https://photos.angel.co/startups/i/5765758-592e1fbbc272fee68e45872e38ddeece-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/small-door               ,https://smalldoorvet.com                                                 ,"['https://smalldoorvet.com/learning-center/', 'https://twitter.com/smalldoorvet', 'https://www.facebook.com/smalldoorvet/', 'https://www.linkedin.com/company/smalldoor/']                                                                                                                   ","['New York City', 'New York']                      ",11-50 people    ,$63.5M                                                                          ,"['Startup', 'Healthcare', 'Medical', 'Pets', 'Veterinary', 'Pet Care']                                                                                                                                                                                                                             ",['Josh Guttman']                                ,['https://angel.co/p/jgut']                                                            ,"['$63.5M', '3 rounds', 'Series B (Dec 2022)'] ","['Discounted gym memberships', 'Commuter benefits', 'Pet-friendly office', 'Company events', 'Volunteer opportunities']"
dYdX                               ,The world's leading decentralized exchange for crypto assets                                          ,Senior Software Engineer - Backend                           ,https://photos.angel.co/startups/i/4710116-491299b98749ea92b6da062838790260-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/dydx                     ,https://dydx.exchange/                                                   ,"['https://dydx.exchange/blog', 'https://twitter.com/dydxprotocol', 'https://www.linkedin.com/company/18264732', 'https://www.producthunt.com/posts/dydx-2']                                                                                                                                  ",['San Francisco']                                    ,11-50 people    ,$87M                                                                            ,"['Financial Services', 'Cryptocurrency', 'Blockchains']                                                                                                                                                                                                                                            ",['Antonio Juliano']                             ,['https://angel.co/p/antonio-juliano']                                                 ,"['$87M', '4 rounds', 'Series C (Jun 2021)']   ",[]
January                            ,Working to ensure that borrowers who fall behind on debt are treated with dignity                     ,Software Engineer (Bay Area)                                 ,https://photos.angel.co/startups/i/5589525-989b20592c221a2c1809071e12c3e426-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/january-tech             ,https://www.january.com/                                                 ,['https://www.linkedin.com/company/debtsy/']                                                                                                                                                                                                                                                   ,"['New York City', 'San Francisco', 'Remote']       ",11-50 people    ,Financial ServicesCreditConsumer LendingFin Tech                                ,"['Financial Services', 'Credit', 'Consumer Lending', 'Fin Tech']                                                                                                                                                                                                                                   ",['Jake Cahan']                                  ,['https://angel.co/p/jakecahan']                                                       ,"['1 round', 'Series A (Dec 2021)']            ","['401k', 'Equity', 'Hybrid & remote work ', 'Flexible pto', 'Some meals provided']"
Gather AI                          ,Autonomous Drones for Data Gathering                                                                  ,Senior Full Stack Developer                                  ,https://photos.angel.co/startups/i/7166638-3d87938d9b5b54838ac2629026c9871d-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/gather-ai                ,https://gather.ai                                                        ,['https://twitter.com/gather_ai']                                                                                                                                                                                                                                                              ,"['San Francisco', 'Pittsburgh']                    ",11-50 people    ,$13.5M                                                                          ,"['Supply Chain Management', 'Drones', 'United States']                                                                                                                                                                                                                                             ",                                                ,                                                                                       ,                                                ,
Amazon                             ,Earth's most customer-centric company                                                                 ,Software Developer Engineer at Amazon                        ,https://photos.angel.co/startups/i/37683-b109108b8062148bcf51903a54d5eb92-medium_jpg.jpg  ,5000+ employees    ,https://angel.co/company/amazon                   ,http://amazon.com/                                                       ,"['https://twitter.com/amazon', 'http://www.facebook.com/amazon', 'http://www.linkedin.com/company/amazon.com']                                                                                                                                                                               ","['Austin', 'Boston', 'Boulder']                    ",5000+ people    ,$8M                                                                             ,"['Public', 'E-Commerce', 'Consumer Goods', 'Advertising', 'Internet Infrastructure', 'Mobile Advertising', 'Advertising Platforms', 'Online Video Advertising']                                                                                                                                    ","['Amazon Online ', 'Jeff Bezos']              ","['https://angel.co/u/amazon-online', 'https://angel.co/u/jeff-bezos']                ","['$8M', '2 rounds', 'IPO (Jun 2019)']         ",[]
Bolster                            ,Detect phishing and fraudulent sites in real-time. Take them down automatically                       ,Full Stack Developer                                         ,https://photos.angel.co/startups/i/3416292-996b0bb010c8210646bd070d118291c0-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/bolster-inc              ,https://bolster.ai                                                       ,"['https://www.bolster.ai/blog/', 'https://twitter.com/bolsterai', 'https://www.linkedin.com/company/18010386/admin/']                                                                                                                                                                        ",['Los Altos']                                        ,11-50 people    ,$15M                                                                            ,"['C Corp', 'Private Company', 'Cyber Security', 'Artificial Intelligence / Machine Learning']                                                                                                                                                                                                      ","['Shashi Prakash', 'Abhishek Dubey']          ","['https://angel.co/u/shashi-prakash', 'https://angel.co/u/abhishek-dubey-007']       ","['$15M', '1 round', 'Series A (Oct 2022)']    ",[]
4crisk.ai                          ,"Regulatory research, compliance maps, automate impact assessment process                            ",Sr. Python / Django backend Developer                        ,https://photos.angel.co/startups/i/8603298-643dca7d22802fc0ef3e5454af4ba4ab-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/4crisk-ai                ,https://4crisk.ai                                                        ,[]                                                                                                                                                                                                                                                                                             ,['Bengaluru']                                        ,11-50 people    ,$8M                                                                             ,"['SaaS', 'Python', 'Artificial Intelligence / Machine Learning']                                                                                                                                                                                                                                   ",                                                ,                                                                                       ,                                                ,
FinTron                            ,Accelerating personal finance for the Mobile-First Generation!                                        ,"Frontend Developer, Mid to Senior Level (FinTech)          ",https://photos.angel.co/startups/i/7076095-1e97075f5eb0a2b2509e102a242b32dc-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/fintron                  ,https://www.fintroninvest.com/home                                       ,"['https://twitter.com/fintroninvest', 'https://www.facebook.com/fintronapp/', 'https://www.linkedin.com/company/fintron-invest/']                                                                                                                                                            ","['Connecticut', 'Stamford', 'Fairfield County']    ",11-50 people    ,$7.2M                                                                           ,"['Consumer Financial Services', 'Mobile', 'Financial Services', 'Education', 'Personal Finance', 'Application Platforms', 'Apps', 'Banking', 'Finance Technology', 'E Banking', 'Education Technology', 'Mobile Application', 'Edtech', 'Website', 'Fin Tech']                                     ",                                                ,                                                                                       ,                                                ,
Menusifu                           ,built smart restaurant                                                                                ,Salesforce Developer                                         ,https://photos.angel.co/startups/i/4087966-0587d1073e30277ad05f0cd145ec8ddc-medium_jpg.jpg,201-500 employees  ,https://angel.co/company/menusifu-4               ,http://www.menusifu.com                                                  ,['https://www.linkedin.com/company/menusifu/']                                                                                                                                                                                                                                                 ,['New York City']                                    ,201-500 people  ,$20M                                                                            ,"['C Corp', 'Enterprise Software']                                                                                                                                                                                                                                                                  ",['Weiqi Ma']                                    ,['https://angel.co/u/weiqi-ma']                                                        ,"['$20M', '1 round', 'Series B (Jul 2022)']    ",[]
Moxe                               ,To connect our healthcare ecosystem with the highest quality and most efficient data                  ,Lead DevOps Engineer                                         ,https://photos.angel.co/startups/i/29595-3b075a8867066c96a8fc1469b1381bfd-medium_jpg.jpg  ,51-200 employees   ,https://angel.co/company/moxe-health              ,http://www.moxehealth.com                                                ,"['http://www.blog.moxehealth.com/', 'http://twitter.com/moxehealth', 'http://www.facebook.com/moxehealth', 'https://www.linkedin.com/company/2440255']                                                                                                                                       ","['Boston', 'Madison', 'Remote']                    ",51-200 people   ,$36.2M                                                                          ,"['Startup', 'Healthcare', 'Medical', 'Health Care Information Technology', 'Ventures for Good', 'Hospitals']                                                                                                                                                                                       ",['Dan Wilson']                                  ,['https://angel.co/u/dan-p-wilson']                                                    ,"['$36.2M', '6 rounds', 'Series B (Jun 2022)'] ","['Medical, dental, vision', 'Life', 'Work', 'Life', 'Life']"
Guideline                          ,401(k) for small business designed to create a retirement Americans can look forward to               ,Senior Full Stack Engineer (Ruby)                            ,https://photos.angel.co/startups/i/800691-4992b2497eea007f94fcf8506092992f-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/guideline                ,https://www.guideline.com                                                ,"['https://www.guideline.com/blog', 'https://twitter.com/guideline401k', 'https://www.facebook.com/guidelinetechnologies/', 'https://www.linkedin.com/company/guideline']                                                                                                                     ","['Austin', 'Portland', 'San Mateo']                ",51-200 people   ,$59M                                                                            ,"['Private Company', 'Corporation', 'Financial Services', 'Finance', 'Small and Medium Businesses', 'Finance Technology', 'Retirement', 'Fin Tech']                                                                                                                                                 ",                                                ,                                                                                       ,                                                ,
Forethought                        ,Our ai agatha makes it easy to be a “genius” at customer support                                      ,"Software Engineer, Frontend                                ",https://photos.angel.co/startups/i/5388526-cb4d5035e17792747b02393e7fcb309f-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/forethought              ,https://www.forethought.ai                                               ,"['https://twitter.com/forethought_ai', 'https://www.facebook.com/forethought.tech', 'https://www.linkedin.com/company/18555572/']                                                                                                                                                            ","['San Francisco', 'Palo Alto']                     ",11-50 people    ,$10M                                                                            ,"['SaaS', 'Enterprise Software Company', 'SaaS', 'Search', 'Machine Learning', 'Artificial Intelligence', 'Natural Language Processing', 'Knowledge Management', 'Customer Service', 'Deep Learning']                                                                                               ",                                                ,                                                                                       ,                                                ,
Greenspace Health                  ,"Transforming how care is accessed, measured and delivered                                           ",Senior Data Engineer                                         ,https://photos.angel.co/startups/i/864056-d24a770de4a134f32f9e2f6256f6fcf7-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/greenspace               ,https://www.greenspacehealth.com/en-ca                                   ,"['https://twitter.com/greenspacemh', 'https://www.facebook.com/grnspace', 'https://www.linkedin.com/company/greenspace-mental-health']                                                                                                                                                       ","['Vancouver', 'Toronto', 'Kelowna']                ",51-200 people   ,Private Company                                                                 ,"['Private Company', 'SaaS', 'Healthcare', 'Technology', 'Mobile Health', 'Mental Health']                                                                                                                                                                                                          ",                                                ,                                                                                       ,                                                ,
Flair                              ,"The perfect temperature, in every room of your home                                                 ",Full-Stack Developer                                         ,https://photos.angel.co/startups/i/441305-9c725fca5b559f0b9e1f4c70a62e949f-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/flair-systems            ,https://flair.co                                                         ,"['https://twitter.com/flair', 'https://www.facebook.com/flair.co', 'https://www.linkedin.com/company/flair-systems']                                                                                                                                                                         ",['San Francisco']                                    ,11-50 people    ,$7.6M                                                                           ,"['Software', 'Hardware', 'Clean Energy', 'Energy Efficiency', 'Smart Building', 'Smart Home']                                                                                                                                                                                                      ","['Kenny Tay', 'Daniel Myers']                 ","['https://angel.co/u/kenny-tay', 'https://angel.co/u/dmandroid88']                   ","['$7.6M', '1 round', 'Series A (Sep 2022)']   ",[]
Genetesis                          ,Noninvasive Imaging of the Heart's Natural Magnetic Field                                             ,Software Engineering Manager                                 ,https://photos.angel.co/startups/i/387827-65ae17f6d92198d89b8776051dce40cc-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/genetesis                ,https://genetesis.com/                                                   ,"['https://twitter.com/genetesisinc', 'https://www.facebook.com/genetesis', 'https://www.linkedin.com/company/genetesis']                                                                                                                                                                     ",['Cincinnati']                                       ,11-50 people    ,$41.2M                                                                          ,"['Healthcare Technology', 'Medical Devices', 'Diagnostics', 'Artificial Intelligence']                                                                                                                                                                                                             ",                                                ,                                                                                       ,                                                ,
Lokyata                            ,"AI platform as a managed service for lending decisions, analytics, and customer engagement          ",Full Stack API Developer                                     ,https://photos.angel.co/startups/i/5294977-431707c4f5ad942225d74536b6da53ca-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/lokyata-global           ,http://www.lokyata.com                                                   ,"['https://www.lokyata.com/blog', 'http://twitter.com/@lokyata_global', 'https://www.linkedin.com/company/lokyata/']                                                                                                                                                                          ","['Washington DC', 'Kochi', 'Mumbai']               ",11-50 people    ,Consumer LendingFin Tech                                                        ,"['Consumer Lending', 'Fin Tech']                                                                                                                                                                                                                                                                   ",                                                ,                                                                                       ,                                                ,
Cedar                              ,Inspiring patient engagements enriched by intelligence                                                ,Senior Backend Engineer                                      ,https://photos.angel.co/startups/i/3266545-c3af811b4d8cca6faa80b27e7562045f-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/cedar                    ,http://www.cedar.com                                                     ,"['https://twitter.com/cedarny', 'https://www.linkedin.com/company/cedar-inc./']                                                                                                                                                                                                              ","['New York City', 'New York']                      ",51-200 people   ,$62M                                                                            ,"['Healthcare', 'Information Technology', 'Marketplaces', 'Health Care Information Technology', 'Personal Finance', 'Health and Wellness', 'Finance Technology', 'Billing', 'Fin Tech']                                                                                                             ","['Florian Otto', 'Arel Lidow']                ","['https://angel.co/p/florian-otto', 'https://angel.co/u/arel-lidow-1']               ","['$62M', '3 rounds', 'Series B (Jun 2018)']   ","['Healthcare benefits', 'Parental leave', 'Remote friendly', 'Generous vacation', 'Company meals']"
Burnt Finance                      ,The first fully decentralized auction protocol built on Solana                                        ,Fullstack Developer                                          ,https://photos.angel.co/startups/i/8313884-34ac500e9606519163f10581edc580f3-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/burnt-finance-1          ,https://burnt.com                                                        ,['https://twitter.com/burntfinance']                                                                                                                                                                                                                                                           ,['New York City']                                    ,11-50 people    ,$11M                                                                            ,"['Blockchain / Cryptocurrency', 'Web3', 'NFT']                                                                                                                                                                                                                                                     ",['Burnt Finance']                               ,['https://angel.co/u/burnt-finance']                                                   ,"['$11M', '2 rounds', 'Series A (Jan 2022)']   ",[]
Niantic                            ,Building technologies and ideas that move us as the leaders in Augmented Reality                      ,Software Development Engineer in Test (SDET) Manager         ,https://photos.angel.co/startups/i/807998-a1c86f85c81f6f205f4d2b1ee6d76535-medium_jpg.jpg ,501-1000 employees ,https://angel.co/company/niantic                  ,http://www.nianticlabs.com                                               ,"['https://www.nianticlabs.com/blog/', 'https://twitter.com/nianticlabs', 'https://www.facebook.com/nianticlabs', 'https://www.linkedin.com/company/niantic']                                                                                                                                 ","['Los Angeles', 'Seattle', 'San Francisco']        ",501-1000 people ,$470M                                                                           ,"['Startup', 'Location Based Services', 'Development Platforms', 'Mobile Games', 'Augmented Reality']                                                                                                                                                                                               ","['John Hanke', 'Phil Keslin']                 ","['https://angel.co/p/johnhanke', 'https://angel.co/p/phil-keslin']                   ","['$9B', '5 rounds', 'Series D (Nov 2021)']    ",[]
Xometry                            ,Manufacturing on Demand                                                                               ,"Senior Software Engineer, DevTools                         ",https://photos.angel.co/startups/i/469032-50c0c7fdb87dc4c40d4f7d0350153b6d-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/xometry                  ,https://www.xometry.com                                                  ,"['https://www.xometry.com/blog/', 'https://twitter.com/xometry', 'https://www.facebook.com/xometry', 'https://www.linkedin.com/company/xometry']                                                                                                                                             ","['Durham', 'Lexington', 'Bethesda']                ",201-500 people  ,$125M                                                                           ,"['Private Company', 'SaaS', 'Manufacturing', 'Industrial', '3D Printing', 'Computer Science']                                                                                                                                                                                                      ","['Laurence Zuriff', 'Randy Altschuler']       ","['https://angel.co/u/laurence-zuriff', 'https://angel.co/u/randy-altschuler']        ","['$125M', '7 rounds', 'Series D (Jul 2019)']  ",[]
Klue                               ,Competitive Enablement for Every Department of Every Enterprise                                       ,Software Engineer Co-op [May 2023]                           ,https://photos.angel.co/startups/i/553703-18c8c8bb7cf86fb9e4b891d806de38f8-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/klue                     ,http://klue.com                                                          ,"['https://klue.com/blog', 'http://twitter.com/@kluein', 'https://www.facebook.com/kluein/', 'http://linkedin.com/company/klue']                                                                                                                                                              ","['London', 'Vancouver', 'Toronto']                 ",51-200 people   ,$82.9M                                                                          ,"['Startup', 'Information Technology', 'SaaS', 'B2B', 'Analytics', 'Artificial Intelligence', 'Technology', 'Sales']                                                                                                                                                                                ","['Sarathy Naicker', 'Jason Smith']            ","['https://angel.co/u/gsar', 'https://angel.co/u/onemoresmith']                       ","['$82.9M', '5 rounds', 'Series B (Dec 2021)'] ",[]
Candidly                           ,Student debt solutions that build financial wellness                                                  ,Data Engineer / Software Developer - Remote International    ,https://photos.angel.co/startups/i/1032441-687834bd489846ea58f886bffc1db4f0-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/futurefuel               ,https://candid.ly                                                        ,"['https://twitter.com/getcandidly', 'https://www.facebook.com/getcandidly', 'https://www.linkedin.com/company/getcandidly']                                                                                                                                                                  ","['United States', 'Portugal', 'Porto']             ",51-200 people   ,$25.7M                                                                          ,"['Startup', 'SaaS', 'Financial Services', 'Employer Benefits Programs', 'Payment Systems', 'Fin Tech', 'Financial Technology']                                                                                                                                                                     ",['Laurel Taylor']                               ,['https://angel.co/u/laurel-taylor-1']                                                 ,"['$25.7M', '4 rounds', 'Series A (Mar 2021)'] ","['Healthcare benefits', 'Retirement benefits', 'Remote friendly', 'Student loan repayment benefits']"
Flexport                           ,Our Mission: Make global trade easy for everyone                                                      ,Senior Site Reliability Engineer                             ,https://photos.angel.co/startups/i/369588-3c3eca2b25981319d1c34edd88dbec8b-medium_jpg.jpg ,1001-5000 employees,https://angel.co/company/flexport                 ,https://www.flexport.com/                                                ,"['http://flexport.com/blog', 'http://twitter.com/flexport', 'http://www.facebook.com/flexportinc/', 'http://www.linkedin.com/company/flexport', 'https://www.producthunt.com/posts/flexport']                                                                                                ","['Atlanta', 'Chicago', 'Dallas']                   ",1001-5000 people,$2.2B                                                                           ,"['Enterprise Software Company', 'Software', 'SaaS', 'Supply Chain Management', 'Software', 'Technology', 'Logistics', 'Shipping', 'Data', 'Trade Platform']                                                                                                                                        ",['Ryan Petersen']                               ,['https://angel.co/p/ryanp']                                                           ,"['$2.2B', '8 rounds', 'Series E (Feb 2022)']  ","['Healthcare benefits', 'Retirement benefits', 'Parental leave', 'Equity benefits', 'Vacation policy']"
Ripple                             ,Build breakthrough crypto solutions for a world without economic borders                              ,"Staff Software Engineer, DevOps                            ",https://photos.angel.co/startups/i/197974-6770867112eb86489dbc5bafd8876a6a-medium_jpg.jpg ,501-1000 employees ,https://angel.co/company/ripple-labs              ,http://ripple.com                                                        ,"['https://ripple.com/insights/', 'http://twitter.com/ripple', 'http://www.facebook.com/rippleofficial', 'https://www.linkedin.com/company/rippleofficial', 'https://www.producthunt.com/posts/ripple-6']                                                                                     ","['Dubai', 'New York City', 'Singapore']            ",501-1000 people ,$290.7M                                                                         ,"['Startup', 'Internet', 'Enterprise Software', 'Financial Services', 'Payments', 'Banking', 'Cryptocurrency', 'Blockchains', 'Software Engineering', 'Fin Tech', 'Blockchain / Cryptocurrency']                                                                                                    ","['Arthur Britto', 'Chris Larsen']             ","['https://angel.co/u/arthur-britto', 'https://angel.co/u/chris-larsen']              ","['$290.7M', '8 rounds', 'Series C (Dec 2019)']","['Competitive salary and equity', 'Flexible vacation policy', 'Provided snacks', 'Commuter benefits', 'Team building']"
FogHorn Systems                    ,"""Edge Intelligence"" for Industrial IoT                                                            ",Principal Staff Software Engineer                            ,https://photos.angel.co/startups/i/2419595-5ae362df461756032122062b770d2294-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/foghorn-systems          ,https://www.foghorn.io/                                                  ,"['http://twitter.com/@foghorn_iot', 'https://www.linkedin.com/company-beta/3821974/']                                                                                                                                                                                                        ",['Mountain View']                                    ,51-200 people   ,$45M                                                                            ,"['Series A', 'Enterprise Software', 'Analytics', 'Software', 'Internet of Things']                                                                                                                                                                                                                 ","['Sastry Malladi', 'David King ']             ","['https://angel.co/u/sastry-malladi', 'https://angel.co/u/david-king-63']            ","['$45M', '2 rounds', 'Series B (Aug 2018)']   ",[]
